"You have logged out and will be redirected to our homepage in 5 seconds.","Ви успішно вийшли зі свого облікового запису і через 5 секунд будете перенаправлені на головну сторінку."
"I express consent to receive commercial information through electronic means of communication, including email.","Я висловлюю згоду на отримання комерційної інформації за допомогою засобів електронного зв'язку, зокрема, електронної пошти."
"I express my consent to process my personal data in accordance with paragraph 5 of Article 6 of the Law of Ukraine «On Personal Data Protection».", "Я висловлюю згоду на обробку моїх персональних даних відповідно до частини 5 статті 6 Закону України «Про захист персональних даних»"
"** Without your consent to the processing of personal data, we will be unable to fulfill your order","** Без Вашої згоди на обробку персональних даних ми не зможемо виконати замовлення"
"* Required Fields","* Required Fields"
"A new password was sent","Новий пароль надіслано"
"Account Dashboard","Загальна інформація"
"Account Information","Інформація про клієнта"
"Account Sharing Options","Дійсність облікового запису клієнта"
"Account information was successfully saved","Інформація про клієнта успішно збережена"
"Action","Дія"
"Add New Address","Додати нову адресу"
"Add New Customer","Додати нового клієнта"
"Add New Customer Group","Додати нову групу клієнтів"
"Added From","Додано"
"Additional Address Entries","Додаткові записи адреси"
"Address","Адреса"
"Address Book","Адресна книжка"
"Address Information","Інформація про адресу"
"Addresses","Адреси"
"Admin","Адміністратор"
"All","Всі"
"All Store Views","Всі магазини"
"All countries","Всі країни"
"Always optional","Always optional"
"Amount","Сума"
"Approved","Підтверджено"
"Are you sure that you want to remove this item?","Ви впевнені, що бажаєте видалити цей товар?"
"Are you sure you want to cancel adding of this address?","Ви впевнені, що бажаєте відмінити додавання цієї адреси?"
"Are you sure you want to delete this address?","Ви впевнені, що бажаєте видалити цю адресу?"
"Are you sure?","Ви впевнені?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Assign a customer group","Призначити групу клієнта"
"Average Sale","Середній рівень продаж"
"Back","Повернутись"
"Back to Login","Повернутись до входу в систему"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","Інформація про оплату"
"Bought From","Куплено з"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Зареєстровані користувачі нашої крамниці мають можливість пришвидшити процес оформлення замовлення, зберігати декілька адрес для доставки, переглядати та відслідковувати свої замовлення тощо."
"CSV","CSV"
"Can't save address","Неможливо зберегти адресу"
"Can't save customer","Неможливо зберегти клієнта"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Відмінити"
"Change Account Password","Зміна паролю для користувача"
"Change Billing Address","Зміна адреси оплати"
"Change Password","Змінити пароль"
"Change Shipping Address","Зміна адреси поставки"
"City","Місто"
"Company","Компанія"
"Config","Налаштування"
"Confirm New Password","Підтвердити новий пароль"
"Confirm Password","Підтвердити пароль"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","Контактна інформація"
"Continue Shopping","Повернутись до магазину"
"Country","Країна"
"Create","Create"
"Create New Account Options","Створити варіанти нового облікового запису"
"Create New Customer Account","Створити нового клієнта"
"Create Order","Свторити замовлення"
"Create an Account","Реєстрація"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","Поточний пароль"
"Customer","Клієнт"
"Customer Addresses","Адреса клієнта"
"Customer Api","Customer Api"
"Customer Configuration","Налаштування клієнта"
"Customer Group","Група клієнтів"
"Customer Group was successfully deleted","Група клієнтів була успішно видалена"
"Customer Group was successfully saved","Група клієнтів була успішно збережена"
"Customer Groups","Групи клієнтів"
"Customer Information","Інформація про клієнта"
"Customer Login","Вхід для клієнта"
"Customer Since","Є клієнтом з"
"Customer View","Customer View"
"Customer collection expected","Customer collection expected"
"Customer doesn't have primary billing address","Клієнт не має первинної адреси оплати "
"Customer email already exists","Еmail адреса клієнта вже існує"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Клієнти"
"Customers Only","Виключно клієнти"
"Customers Section","Customers Section"
"DD","DD"
"Date","Дата"
"Date Added","Додано:"
"Date of Birth","Date of Birth"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","Днів у списку бажань"
"Default Addresses","Адреса по замовчуванню"
"Default Billing Address","Адреса оплати за замовчуванням"
"Default Email Domain","Email домен за замовчуванням"
"Default Group","Група за замовчуванням"
"Default Shipping Address","Адреса доставки за замовчуванням"
"Default Welcome Email","Default Welcome Email"
"Delete","Видалити"
"Delete Address","Видалити адресу"
"Delete Customer","Видалити клієнта"
"Delete Customer Group","Видалити групу клієнтів"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Видалити групу магазинів"
"Details","Деталі"
"Disabled","Не показувати"
"Edit","Редагувати"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Редагувати інформацію про обліковий запис"
"Edit Address","Редагувати адресу"
"Edit Address Entry","Редагувати запис адреси"
"Edit Customer Group ""%s""","Редагувати групу клієнтів ""%s"""
"Edit Customer Groups","Редагувати групи клієнтів"
"Edit Customer's Address","Редагувати адресу клієнта"
"Edit Group","Редагувати групу"
"Edit Newsletter Subscription","Редагувати підиску на інформаційні листи"
"Edit Newsletters","Редагувати інформаційні листи"
"Edit Personal Information","Редагувати персональну інформацію"
"Email","Email"
"Email Address","Email адреса"
"Email Sender","Відправник Email "
"Entity collection is expected","Entity collection is expected"
"Error during retrieval of option value: %s","Помилка при отриманні варіанту значення: %s"
"Ext. Price","Розширена ціна"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Факс"
"First Name","Ім'я"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Відправник листа про втрачений пароль"
"Forgot Email Template","Шаблон листа про втрачений пароль"
"Forgot Your Password?","Забули свій пароль?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","З панелі інструментів Вашої сторінки Ви маєте можливість переглянути Ваші нещодавні дії і оновити інофрмацію про обліковий запис. Перейдіть по посиланню, вказаному нижче, для перегляду або редагування інформації."
"General Subscription","Загальна підписка"
"Global","Всіх вебсайтів"
"Go to Address Book","Перейти до Адресної книжки"
"Grand Total","ВСЬОГО"
"Grand Total: %s","ВСЬОГО: %s"
"Group","Група"
"Group ""%s"" can not be deleted","Група ""%s"" не може бути видаленою"
"Group Information","Інофрмація про групу"
"Group Name","Назва групи"
"Guest","Гість"
"HTML","HTML"
"Hello, %s!","Вітаємо, %s!"
"ID","ID"
"IP Address","IP адреса"
"If you have an account with us, please log in.","Якщо Ви вже зареєстрований користувач, будь ласка, увійдіть в систему."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Невірний варіант атрибуту для атрибуту %s (%s), пропуск запису"
"Invalid attribute set specified, skipping the record","Невірний набір атрибутів заданий, пропуск запису "
"Invalid current password","Невірний поточний пароль"
"Invalid customer data","Невірні дані клієнта"
"Invalid email address","Невірна email адреса"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Invalid login or password."
"Invalid option id specified for %s (%s), skipping the record","Невірний варіант для %s (%s) заданий, пропуск запису"
"Invalid store specified, skipping the record","Невірна група магазинів задана, пропуск запису"
"Items Order","Замовлення товарів"
"Last 5 Orders","Останні 5 замовлень"
"Last Activity","Останні дії"
"Last Name","Прізвище"
"Last Url","Остання Url"
"Last Viewed Items","Останні переглянуті товари"
"Last date subscribed","Остання дата підписки"
"Last date unsubscribed","Остання дата скасування підписки"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Продажі за весь період"
"Log In","Вхід"
"Log Out","Вихід"
"Log in or Create an Account","Log in or Create an Account"
"Login","Вхід"
"Login Information","Пароль"
"Login and password are required","Неохідно ввести логін та пароль"
"Login or Create an Account","Увійдіть в систему або Зареєструйтесь"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Адреси"
"Manage Customers","Клієнти"
"Missing email, skipping the record","Відсутній email, пропуск запису"
"Missing firstname, skipping the record","Відсутнє ім'я, пропуск запису"
"Missing lastname, skipping the record","Відсутнє прізвище, пропуск запису"
"Month","Month"
"My Account","Моя сторінка"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","Моя панель інструментів"
"My Orders","Мої замовлення"
"My Reviews","Мої відгуки"
"My Tags","Мої теги"
"My Wishlist","Мій список бажань"
"Name","Назва"
"Name and Address Options","Name and Address Options"
"Never","Ніколи"
"New Address","Нова адреса"
"New Address Entry","Новий запис адреси"
"New Customer","Новий користувач"
"New Customer Address","Адреса нового користувача"
"New Customer Group","Нова група користувачів"
"New Customer Groups","Нові групи користувачів"
"New Customers","Нові користувачі"
"New Group","Нова група"
"New Password","Новий пароль"
"New account","Новий обліковий запис"
"New account confirmation key","Код підтрердження для нового облікового запису"
"New account confirmed","Новий обліковий запис підтверджений"
"New password","Новий пароль"
"Newsletter","Інформаційний лист"
"Newsletter Finish","Кінець інформаційного листа"
"Newsletter Information","Детальніше про інформаційний лист"
"Newsletter Received","Інформаційний лист отримано"
"Newsletter Start","Початок інформаційного листа"
"Newsletter Subscription","Підписка на інформаційний лист"
"Newsletters","Інформаційні листи"
"No Items Found","Не знайдено жодного товару"
"No Newsletter Found","Жодного інформаційного листа не знайдено"
"No item specified.","Жодної позиції не вибрано."
"No product collections found","Жодної колекції товарів не знайдено"
"Not Sent","Не надіслано"
"Not confirmed, can login","Не підтверджено, можете залогуватись"
"Not confirmed, cannot login","Не підтверджено, не можете залогуватись"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Поза мережею"
"Online","В мережі"
"Online Customers","Користувачі он-лайн"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Замовлення №"
"Order #%s (%s)","Замовлення №%s (%s)"
"Order List...","Перелік замовлень..."
"Order Total","Вартість замовлення"
"Orders","Замовлення"
"PDF","PDF"
"Password","Пароль"
"Password Management","Паролі"
"Password Options","Налаштування паролю"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Password forgotten"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Пароль має складатись щонайменше з 6-ти знаків. Пробіли проставлені спереду та ззаду враховуватись не будуть."
"Paused","Призупинено"
"Payment Method","Спосіб оплати"
"Pending","В очікуванні"
"Per Website","Цього вебсайту"
"Personal Information","Персональна інформація"
"Please enter your email below and we'll send you a new password.","Будь-ласка, введіть ваш email нижче і ми надішлемо Вам новий пароль."
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","Будь-ласка, введіть ваш email."
"Please make sure your passwords match.","Будь-ласка, переконайтесь в тому, що Ваші паролі співпадають."
"Please select","Виберіть"
"Please select region, state or province","Будь-ласка, виберіть регіон або область"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Price","Ціна"
"Primary Billing Address","Первинна адреса оплати"
"Primary Shipping Address","Первинна адреса доставки"
"Problem saving the collection, aborting. Error: %s","Виникла проблема при збереженні колекції, припинення операції. Помилка: %s"
"Product","Товар"
"Product ID","ID товару"
"Product Name","Назва товару"
"Product Reviews","Відгуки про товар"
"Product Tags","Теги товару"
"Product name","Назва товару"
"Purchase On","Куплений"
"Purchased at","Куплений на"
"Qty","Кількість"
"Recent Orders","Нещодавні замовлення"
"Records for ""","Записів для"""
"Refunded","Відшокодовано"
"Registered Customers","Зареєстровані користувачі"
"Remove","Видалити"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Віднолення паролю"
"SKU","Обліковий номер"
"Sales Statistics","Статистика продаж"
"Save","Зберегти"
"Save Address","Зберегти адресу"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Зберегти клієнта"
"Save Customer Group","Зберегти групу клієнта"
"Save Password","Зберегти пароль"
"Saved ","Збережено"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Надіслати автоматично-згенерований пароль"
"Send confirmation link","Send confirmation link"
"Send welcome email","Надіслати лист привітання"
"Sending","Надсилається"
"Sent","Надіслано"
"Session Start Time","Дата початку сесії"
"Set as Default Billing Address","Встановити як первинну адресу оплати за замовчуванням"
"Set as Default Shipping Address","Встановити як первинну адресу доставки за замовчуванням"
"Share Customer Accounts","Обліковий запис клієнта дійсний для"
"Ship to First name","Ім'я отримувача"
"Ship to Last name","Прізвище отримувача"
"Shipped to First Name","Ім'я отримувача"
"Shipped to Last Name","Прізвище отримувача"
"Shipped to Name","Отримувач"
"Shipping Information","Інформація про доставку"
"Shipping Method","Метод доставки"
"Shopping Cart","Кошик"
"Shopping Cart - %d item(s)","Кошик - %d шт."
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","Підписатись на інформаційний лист"
"Sign up for our newsletter","Підписатись на наш інформаційний лист"
"Skip import row, required field ""%s"" not defined","Пропуск важливої стрічки, обов'язкове поле ""%s"" не заповнене"
"Skip import row, website ""%s"" field not exists","Пропуск важливої стрічки, поле вебсайту ""%s"" не існує"
"State/Province","Регіон/Область"
"Status","Статус"
"Store","Група магазинів"
"Store View","Магазин"
"Street Address","Адреса: Вулиця"
"Street Address ","Street Address "
"Subject","Тема"
"Submit","надіслати"
"Subscribe","Підписатись"
"Subscribe to newsletter","Підписка на інформаційний лист"
"Subscribed to Newsletter?","Підписатись на інформаційний лист?"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","Назва тегу"
"Tax Class","Клас податку"
"Tax class","Клас податку"
"Tax/VAT number","Tax/VAT number"
"Telephone","Телефон"
"Text","Текст"
"Text One Line","Текст однією лінією"
"Thank you for registering with %s.","Дякуємо за реєстрацію на <span class=""hide"">%s</span>."
"The address does not belong to this customer","Адреса не належить цьому клієнту"
"The address was successfully deleted","Адреса була успішно видалена"
"The address was successfully saved","Адреса була успішно збережена"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","У списку бажань клієнта немає жодного товару на даний момент"
"There are no items in customer's shopping cart at the moment","На даний момент кошик клієнта пустий"
"There was an error while deleting the address","Виникла помилка при видаленні адреси"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","В цього клієнта немає збережених адрес."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","Цей email не був знайдений в наших записах"
"This is My Primary %s Address","Це моя первинна  %s адреса"
"To Cart","В кошик"
"Total","Вартість"
"Type","Тип"
"Unknown","Невідомий"
"Unsubscribe from newsletter","Скасувати підписку на інформаційний лист"
"Update","Оновити"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Primary %s Address","Використовувати як мою первинну %s адресу"
"Use as my default billing address","Використовувати як мою первинну адресу оплати за замовчуванням"
"Use as my default shipping address","Використовувати як мою первинну адресу доставки за замовчуванням"
"User description","Опис користувача"
"View","Перегляд"
"View Order","Переглянути замовлення"
"View Order List","Переглянути список замовлень"
"Visible In","Видимий в"
"Visitor","Відвідувач"
"Visitors Only","Виключно для відвідувачів"
"Website","Вебсайт"
"Welcome Email","Welcome Email"
"Wishlist","Список бажань"
"Wishlist - %d item(s)","Список бажань - %d шт."
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","Невірний id регіону за вибраною країною"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","YYYY"
"Year","Year"
"You are currently not subscribed to any newsletter.","На даний момент Ви не підписані на жоден інформаційний лист."
"You are currently not subscribed to our newsletter","На даний момент Ви не підписані на наш інформаційний лист"
"You are currently subscribed to 'General Subscription'.","На даний момент Ви  підписані на 'Загальну підписку'."
"You are currently subscribed to our newsletter","На даний момент Ви  підписані на наш інформаційний лист"
"You are currently subscribed to our newsletter.","На даний момент Ви  підписані на наш інформаційний лист."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Ви успішно вийшли з системи і бедете перенаправлені на Головну сторінку через 5 секунд."
"You have no additional address entries in your address book.","Ви не маєте додаткових записів адрес у Вашій адресній книжці."
"You have no additional entries in your address book.","Ви не маєте додаткових записів у Вашій адресній книжці."
"You have no default billing address in your address book.","Ви не маєте адреси оплати за замовчуванням у Вашій адресній книжці."
"You have no default shipping address in your address book.","Ви не маєте адреси доставки за замовчуванням у Вашій адресній книжці."
"You have no primary entries in your address book.","Ви не маєте жодного первинного запису у Вашій адресній книжці."
"You have not set a primary billing address.","Ви не вказали первинної адреси оплати."
"You have not set a primary shipping address.","Ви не вказали первинної адреси доставки."
"You have placed no orders yet.","Ви ще не оформили жодного замовлення."
"You have placed no products yet.","Ви ще не замовили ще жодного товару."
"You are now logged out","Ви успішно вийшли з системи"
"You're now Logged Out","Ви успішно вийшли з системи"
"Your account balance is: %s","Баланс на Вашому рахунку становить: %s"
"ZIP","ZIP"
"ZIP/Post Code","Поштовий код"
"ZIP/Postal Code","Поштовий код"
"Zip/Postal Code","Поштовий код"
"n/a","недоступно"
"or","або"
"You have not set a default billing address.", "Ви не встановили білінг-адресу за замовчуванням."
"You have not set a default shipping address.","Ви не встановили адресу доставки за замовчуванням."
"The account information has been saved.","Дані користувача було змінено."
"If there is an account associated with %s you will receive an email with a link to reset your password.","Якщо цей обліковий запис пов'язаний з %s, Ви отримаєте лист з посиланням для відновлення пароля."
"Please enter your email address below. You will receive a link to reset your password.","Будь ласка, введіть адресу Вашої електронної пошти. Ви отримаєте посилання для зміни пароля."
"Reset a Password","Скидання пароля."
"Your password has been updated.","Ваш пароль змінений"
"The address has been saved.","Адреса збережена."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Вибачте, з такою адресою електронной пошти вже є обліковий запис. якщо Ви впевнені, що це ваша адреса, то <a href=""%s"">натисніть сюди</a> для отримання пароля на email. З ним Ви зможете отримати доступ до вашого облікового запису."
